link,skills,salary,experience,name
https://hh.ru/vacancy/49502790?from=vacancy_search_list&query=it,"['1С программирование', 'Администрирование']",от 115 000 руб. до вычета налогов,1–3 года,Junior Разработчик 1С
https://hh.ru/vacancy/49572374?from=vacancy_search_list&query=it,"['JavaScript', 'Node.js', 'TypeScript', 'HTML5', 'Less']",от 3 500 EUR на руки,3–6 лет,Frontend-разработчик (Video Player)
https://hh.ru/vacancy/49747033?from=vacancy_search_list&query=it,"['Прием посетителей', 'Прием и распределение звонков', 'Входящая корреспонденция', 'исходящая корреспонденция', 'Грамотная речь']",до 60 000 руб. до вычета налогов,1–3 года,Секретарь на ресепшен / Офис-менеджер
https://hh.ru/vacancy/50179987?from=vacancy_search_list&query=it,"['Грамотная речь', 'Ведение переговоров', 'Клиентоориентированность', 'Работа в команде', 'Навыки продаж']",от 75 000 руб. до вычета налогов,не требуется,Менеджер по продажам программных решений
https://hh.ru/vacancy/48296073?from=vacancy_search_list&query=it,"['Английский\xa0— A1 — Начальный', 'Управление проектами', 'MS Project', 'MS PowerPoint', 'Электронный документооборот', 'Административная поддержка руководителя', 'Ведение переговоров', 'Деловая переписка']",от 50 000 до 80 000 руб. на руки,1–3 года,Помощник руководителя проектов АСУ ТП.
https://hh.ru/vacancy/49494595?from=vacancy_search_list&query=it,[],от 90 000 руб. до вычета налогов,1–3 года,Юрисконсульт договорного направления
https://hh.ru/vacancy/49768979?from=vacancy_search_list&query=it,"['Работа с кассой', 'Навыки продаж', 'работа с VIP клиентами', 'Сопровождение клиентов', 'Консультирование клиентов']",от 65 000 до 150 000 руб. до вычета налогов,1–3 года,Продавец-консультант
https://hh.ru/vacancy/48992174?from=vacancy_search_list&query=it,[],до 100 000 руб. на руки,1–3 года,Инженер поддержки Helpdesk 2 линия (Удаленно)
https://hh.ru/vacancy/49971084?from=vacancy_search_list&query=it,"['1C: Бухгалтерия', '1C: Зарплата и кадры', 'Банк-клиент', 'Консультант плюс', 'Первичная бухгалтерская документация', 'Бухгалтерская отчетность', '1С: Предприятие 8', 'Кадровое делопроизводство', 'Пользователь ПК', '1С: Бухгалтерия', 'Налоговая отчетность', 'Расчет заработной платы', 'Первичная документация', 'Основные средства', 'Отчетность в ПФР', 'Расчет НДС']",от 120 000 руб. на руки,3–6 лет,Главный бухгалтер
https://hh.ru/vacancy/47663311?from=vacancy_search_list&query=it,"['SQL', 'Linux', 'MS SQL Server', 'PowerShell']",от 90 000 руб. на руки,3–6 лет,Инженер по внедрению и технической поддержке ПО
https://hh.ru/vacancy/50189190?from=vacancy_search_list&query=it,[],от 250 000 до 300 000 руб. на руки,3–6 лет,Финансовый директор (IT компания)
