link,names,skills,salary,experience,name
https://hh.ru/vacancy/48082943?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Git', 'Atlassian Jira', 'SQL', 'Linux', 'Python3', 'TDD', 'Agile', 'NLP', 'Data Science', 'Apache Kafka', 'Docker', 'Jira', 'Atlassian Confluence', 'DevOps']",от 230 000 руб. на руки,1–3 года,Python-разработчик
https://hh.ru/vacancy/50571584?from=vacancy_search_list&query=data%20analyst,0,"['Английский язык', 'Digital Marketing', 'Leadership Skills', 'Project management', 'Business English', 'Marketing Analytics', 'Account Management']",от 200 000 до 270 000 руб. на руки,3–6 лет,Senior Customer Success Manager
https://hh.ru/vacancy/49924547?from=vacancy_search_list&query=data%20analyst,0,"['Английский\xa0— C1 — Продвинутый', 'Английский язык', 'Google Analytics', 'SQL', 'Teambuilding', 'Customer Service', 'Google Ads', 'Marketing Analysis', 'Teamleading', 'Product Marketing', 'Analytical skills', 'PPC', 'Facebook Ads', 'Advertising', 'Time management', 'Customer Support', 'Business English', 'Writing Skills', 'Веб-аналитика', 'WEB аналитика', 'Mobile Marketing', 'Tiktok', 'Snapchat', 'SQL skills']",от 100 000 руб. на руки,1–3 года,PPC Specialist
https://hh.ru/vacancy/49748667?from=vacancy_search_list&query=data%20analyst,0,"['Python', 'Git', 'Django Framework', 'PostgreSQL', 'Linux']",от 150 000 до 250 000 руб. на руки,1–3 года,Python-разработчик в Цифровые поверхности Салют (Речевая аналитика)
https://hh.ru/vacancy/48983314?from=vacancy_search_list&query=data%20analyst,0,"['Подбор персонала', 'Рекрутмент', 'Навыки презентации', 'Ведение переговоров', 'Менеджмент']",от 200 000 до 450 000 руб. до вычета налогов,3–6 лет,IT Recruitment Team Lead
https://hh.ru/vacancy/48983274?from=vacancy_search_list&query=data%20analyst,0,"['Подбор персонала', 'Рекрутмент', 'Навыки презентации', 'Ведение переговоров', 'Менеджмент']",от 150 000 до 350 000 руб. до вычета налогов,1–3 года,Senior IT Recruiter
https://hh.ru/vacancy/50048002?from=vacancy_search_list&query=data%20analyst,0,"['Подбор персонала', 'Рекрутмент', 'Навыки презентации', 'Ведение переговоров']",от 60 000 до 250 000 руб. до вычета налогов,1–3 года,IT Recruiter / IT Рекрутер
https://hh.ru/vacancy/50535288?from=vacancy_search_list&query=data%20analyst,0,"['Google Analytics', 'Яндекс.Метрика', 'SMM', 'Интернет-реклама', 'Internet Marketing', 'Таргетинг']",от 50 000 руб. на руки,1–3 года,Таргетолог
https://hh.ru/vacancy/50527118?from=vacancy_search_list&query=data%20analyst,0,"['SQL', 'MySQL', 'Big Data', 'Agile', 'MVC', 'Unit Testing', 'Удаленная работа', 'Clickhouse', 'CakePHP', 'Laravel', 'PHP', 'PHP7', 'Codeigniter', 'Symfony', 'Zend Framework', 'TDD', 'DDD']",до 300 000 руб. на руки,3–6 лет,Senior // Middle + Fullstack разработчик (PHP)
https://hh.ru/vacancy/50523661?from=vacancy_search_list&query=data%20analyst,0,"['Разработка технических заданий', 'Разработка инструкций']",от 120 000 руб. до вычета налогов,1–3 года,Ведущий менеджер по поддержке бизнеса
