link,names,skills,salary,experience,name
https://hh.ru/vacancy/50081785?from=vacancy_search_list&query=it,0,"['Активные продажи', 'Работа в команде', 'Грамотная речь', 'Навыки продаж', 'Прямые продажи', 'Выявление потребностей', 'Работа с юридическими лицами', 'Поиск и привлечение клиентов', 'Телефонные переговоры', 'Продажи', 'Холодные продажи']",от 40 000 до 150 000 руб. на руки,не требуется,Менеджер по работе с корпоративными клиентами (it-продукты)
https://hh.ru/vacancy/44490341?from=vacancy_search_list&query=it,0,"['SOAP', 'Управление проектами', 'BPMN', 'REST', 'XML']",от 150 000 руб. на руки,не требуется,Project manager (разработка бизнес-приложений)
https://hh.ru/vacancy/50085638?from=vacancy_search_list&query=it,0,"['Английский\xa0— C1 — Продвинутый', 'Business Analysis', 'Analytical skills', 'Project management', 'UML', 'BPMN', 'MS SQLServer']",от 3 300 USD на руки,более 6 лет,Senior Business Analyst
https://hh.ru/vacancy/48637692?from=vacancy_search_list&query=it,0,[],от 120 000 руб. на руки,1–3 года,Middle QA Engineer / Тестировщик
https://hh.ru/vacancy/50099584?from=vacancy_search_list&query=it,0,"['Работа в команде', 'Google Sheets', 'Знание английского языка', 'Грамотная письменная речь', 'Подбор персонала', 'Рекрутмент']",от 150 000 до 200 000 руб. на руки,3–6 лет,"Senior Recruiter (IT, Gamedev)"
https://hh.ru/vacancy/49667335?from=vacancy_search_list&query=it,0,"['Английский\xa0— B2 — Средне-продвинутый', 'PostgreSQL', 'Linux', 'Git', 'Постановка задач разработчикам', 'Системное мышление', 'Kibana', 'Кubernetes', 'Docker', 'GoLang']",от 400 000 до 600 000 руб. до вычета налогов,более 6 лет,Руководитель разработки / Senior Team Lead
https://hh.ru/vacancy/48450533?from=vacancy_search_list&query=it,0,['Подбор персонала'],от 120 000 до 200 000 руб. до вычета налогов,1–3 года,Team Lead Рекрутер
https://hh.ru/vacancy/49519936?from=vacancy_search_list&query=it,0,"['Английский\xa0— C2 — В совершенстве', 'Sales Skills', 'Negotiation skills', 'Английский язык', 'Time management', 'Presentation skills', 'cryptocurrency']",от 120 000 руб. на руки,1–3 года,"Business Development Manager (Nebula Team, possibly remote)"
https://hh.ru/vacancy/49956070?from=vacancy_search_list&query=it,0,"['B2B Продажи', 'Проведение презентаций', 'Английский язык', 'Навыки презентации', 'Ведение переговоров']",от 70 000 руб. на руки,1–3 года,Менеджер по работе с партнерами
https://hh.ru/vacancy/49871831?from=vacancy_search_list&query=it,0,"['Подготовка презентаций', 'MS PowerPoint', 'Организация мероприятий', 'Навыки презентации', 'Мобильность', 'Опытный пользователь ПК', 'Организаторские навыки', 'Работа с договорами', 'Google таблицы', 'Многозадачность']",от 55 000 руб. на руки,не требуется,Ассистент менеджера проекта
